"Percent Requests Encrypted","Owner","Owner Country","Owner Lineage"
"100.0","AdSense","US","AdSense > Google > Alphabet "
"100.0","AddThis","US","AddThis > Oracle "
"100.0","Adition Technologies","DE","Adition Technologies "
"100.0","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems "
"100.0","Adobe Marketing Cloud","US","Adobe Marketing Cloud > Adobe Systems "
"100.0","Adobe Systems","US","Adobe Systems "
"100.0","Alexa","US","Alexa > Amazon "
"100.0","Amazon","US","Amazon "
"100.0","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"100.0","Amazon Web Services","US","Amazon Web Services > Amazon "
"100.0","Amobee","US","Amobee > Singtel "
"100.0","Amplitude","US","Amplitude "
"100.0","Aol","US","Aol > Oath > Verizon "
"100.0","AppNexus","US","AppNexus "
"100.0","Apple","US","Apple "
"100.0","Automattic","US","Automattic "
"100.0","Awempire","LU","Awempire "
"100.0","Beeswax","US","Beeswax "
"100.0","Bidswitch","UK","Bidswitch > IPONWEB "
"100.0","Bing","US","Bing > Microsoft "
"100.0","Blinkx","US","Blinkx > RhythmOne "
"100.0","Chartbeat","US","Chartbeat "
"100.0","Cloudflare","US","Cloudflare "
"100.0","Comcast","US","Comcast "
"100.0","Conversant Media","US","Conversant Media "
"100.0","Crazy Egg","US","Crazy Egg "
"100.0","Criteo","FR","Criteo "
"100.0","Dotomi","US","Dotomi > Conversant Media "
"100.0","DoubleClick","US","DoubleClick > Google > Alphabet "
"100.0","Dynadmic","FR","Dynadmic "
"100.0","Eyeview","US","Eyeview "
"100.0","Facebook","US","Facebook "
"100.0","Fastly","US","Fastly "
"100.0","Flashtalking","US","Flashtalking "
"100.0","GTCR","US","GTCR "
"100.0","Gigya","US","Gigya "
"100.0","Gravatar","US","Gravatar > Automattic "
"100.0","Hotjar","MT","Hotjar "
"100.0","IPONWEB","UK","IPONWEB "
"100.0","Improve Digital","NL","Improve Digital "
"100.0","Index Exchange","CA","Index Exchange "
"100.0","Integral Ad Science","US","Integral Ad Science "
"100.0","Krux Digital","US","Krux Digital > Salesforce "
"100.0","LinkedIn","US","LinkedIn "
"100.0","Lotame","US","Lotame "
"100.0","Marimedia","IL","Marimedia "
"100.0","Media Math","US","Media Math "
"100.0","Media.net","US","Media.net "
"100.0","Microsoft","US","Microsoft "
"100.0","Moat","US","Moat > Oracle "
"100.0","New Relic","US","New Relic "
"100.0","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"100.0","Oath","US","Oath > Verizon "
"100.0","OpenX","US","OpenX "
"100.0","Outbrain","US","Outbrain "
"100.0","PopAds","?","PopAds "
"100.0","Prospect One","US","Prospect One "
"100.0","PubMatic","US","PubMatic "
"100.0","Quantcast","US","Quantcast "
"100.0","RhythmOne","US","RhythmOne "
"100.0","Rubicon Project","US","Rubicon Project "
"100.0","Salesforce","US","Salesforce "
"100.0","ScorecardResearch","US","ScorecardResearch > comScore "
"100.0","Share This","US","Share This "
"100.0","Singtel","SG","Singtel "
"100.0","Smart AdServer","FR","Smart AdServer "
"100.0","Spot X Change","US","Spot X Change "
"100.0","StickyADS.tv","US","StickyADS.tv > Comcast "
"100.0","Taboola","US","Taboola "
"100.0","Taptica","US","Taptica > Marimedia "
"100.0","Tealium","US","Tealium "
"100.0","The Trade Desk","US","The Trade Desk "
"100.0","Tradedoubler","SE","Tradedoubler "
"100.0","Tremor Video","US","Tremor Video > Taptica > Marimedia "
"100.0","Turn","US","Turn > Amobee > Singtel "
"100.0","Twitter","US","Twitter "
"100.0","Verizon","US","Verizon "
"100.0","Wordpress","US","Wordpress > Automattic "
"100.0","Yahoo","US","Yahoo > Oath > Verizon "
"100.0","YouTube","US","YouTube > Google > Alphabet "
"100.0","comScore","US","comScore "
"100.0","exoClick","ES","exoClick "
"100.0","jQuery Foundation","US","jQuery Foundation "
"100.0","jsDelivr","US","jsDelivr > Prospect One "
"100.0","simpli.fi","US","simpli.fi > GTCR "
"98.8","Akamai","US","Akamai "
"97.79","Alphabet","US","Alphabet "
"97.79","Google","US","Google > Alphabet "
"97.62","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"92.86","Oracle","US","Oracle "
"91.36","Google Analytics","US","Google Analytics > Google > Alphabet "
"91.3","Google APIs","US","Google APIs > Google > Alphabet "
"90.91","Blogger","US","Blogger > Google > Alphabet "
"60.0","StackPath","US","StackPath "
"50.0","Blue Kai","US","Blue Kai > Oracle "
"44.44","Google App Engine","US","Google App Engine > Google > Alphabet "
"7.78","Alibaba","CN","Alibaba "
