"Percent Total","Owner","Owner Country","Owner Lineage","Data Transfered (bytes)"
"11.07","Alphabet","US","Alphabet ","11976602"
"11.07","Google","US","Google > Alphabet ","11976602"
"8.23","Amazon","US","Amazon ","8901155"
"3.27","Alibaba","CN","Alibaba ","3531549"
"2.31","Facebook","US","Facebook ","2500941"
"2.15","DoubleClick","US","DoubleClick > Google > Alphabet ","2320387"
"2.06","Awempire","LU","Awempire ","2228490"
"2.03","YouTube","US","YouTube > Google > Alphabet ","2195953"
"1.31","AdSense","US","AdSense > Google > Alphabet ","1411591"
"1.1","Google Tag Manager","US","Google Tag Manager > Google > Alphabet ","1186696"
"0.95","exoClick","ES","exoClick ","1029454"
"0.93","Akamai","US","Akamai ","1002888"
"0.74","Twitter","US","Twitter ","795373"
"0.67","Microsoft","US","Microsoft ","725438"
"0.54","Automattic","US","Automattic ","582374"
"0.53","Wordpress","US","Wordpress > Automattic ","574875"
"0.49","Google Analytics","US","Google Analytics > Google > Alphabet ","530672"
"0.29","Amazon Marketing Services","US","Amazon Marketing Services > Amazon ","310756"
"0.27","Oracle","US","Oracle ","292545"
"0.25","Krux Digital","US","Krux Digital > Salesforce ","272873"
"0.25","Salesforce","US","Salesforce ","272873"
"0.24","Amazon Web Services","US","Amazon Web Services > Amazon ","258279"
"0.23","Adobe Systems","US","Adobe Systems ","250936"
"0.22","Adobe Marketing Cloud","US","Adobe Marketing Cloud > Adobe Systems ","241133"
"0.22","Oath","US","Oath > Verizon ","240894"
"0.22","Verizon","US","Verizon ","240894"
"0.21","Yahoo","US","Yahoo > Oath > Verizon ","232468"
"0.18","AddThis","US","AddThis > Oracle ","196373"
"0.18","Cloudflare","US","Cloudflare ","192676"
"0.16","Criteo","FR","Criteo ","173991"
"0.16","Comcast","US","Comcast ","170255"
"0.16","StickyADS.tv","US","StickyADS.tv > Comcast ","170255"
"0.14","Hotjar","MT","Hotjar ","150400"
"0.14","Google APIs","US","Google APIs > Google > Alphabet ","149232"
"0.13","Chartbeat","US","Chartbeat ","144991"
"0.13","Blogger","US","Blogger > Google > Alphabet ","143231"
"0.1","PubMatic","US","PubMatic ","110265"
"0.1","Gigya","US","Gigya ","105475"
"0.09","StackPath","US","StackPath ","98691"
"0.09","Moat","US","Moat > Oracle ","96172"
"0.08","Integral Ad Science","US","Integral Ad Science ","83138"
"0.07","Rubicon Project","US","Rubicon Project ","75854"
"0.06","Tealium","US","Tealium ","68619"
"0.04","Improve Digital","NL","Improve Digital ","42308"
"0.04","Share This","US","Share This ","38026"
"0.03","Crazy Egg","US","Crazy Egg ","36566"
"0.03","Flashtalking","US","Flashtalking ","31091"
"0.02","Amplitude","US","Amplitude ","26341"
"0.02","jQuery Foundation","US","jQuery Foundation ","24520"
"0.02","New Relic","US","New Relic ","22123"
"0.02","Google App Engine","US","Google App Engine > Google > Alphabet ","17560"
"0.02","Fastly","US","Fastly ","16459"
"0.01","Outbrain","US","Outbrain ","15589"
"0.01","AppNexus","US","AppNexus ","14006"
"0.01","comScore","US","comScore ","11614"
"0.01","ScorecardResearch","US","ScorecardResearch > comScore ","11614"
"0.01","Smart AdServer","FR","Smart AdServer ","11142"
"0.01","PopAds","?","PopAds ","9631"
"0.01","jsDelivr","US","jsDelivr > Prospect One ","8998"
"0.01","Prospect One","US","Prospect One ","8998"
"0.01","Aol","US","Aol > Oath > Verizon ","8426"
"0.01","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon ","8426"
"0.01","AdForm","DK","AdForm ","8015"
"0.01","Bing","US","Bing > Microsoft ","7725"
"0.01","Spot X Change","US","Spot X Change ","7644"
"0.01","Gravatar","US","Gravatar > Automattic ","7499"
"0.01","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems ","6240"
"0.0","Apple","US","Apple ","4855"
"0.0","Bidswitch","UK","Bidswitch > IPONWEB ","4576"
"0.0","IPONWEB","UK","IPONWEB ","4576"
"0.0","Alexa","US","Alexa > Amazon ","3800"
"0.0","Index Exchange","CA","Index Exchange ","3583"
"0.0","Taboola","US","Taboola ","3261"
"0.0","Media Math","US","Media Math ","2734"
"0.0","Tradedoubler","SE","Tradedoubler ","2375"
"0.0","LinkedIn","US","LinkedIn ","2220"
"0.0","The Trade Desk","US","The Trade Desk ","1884"
"0.0","Marimedia","IL","Marimedia ","1838"
"0.0","Taptica","US","Taptica > Marimedia ","1838"
"0.0","Tremor Video","US","Tremor Video > Taptica > Marimedia ","1838"
"0.0","Dynadmic","FR","Dynadmic ","1387"
"0.0","Amobee","US","Amobee > Singtel ","1382"
"0.0","Singtel","SG","Singtel ","1382"
"0.0","Turn","US","Turn > Amobee > Singtel ","1382"
"0.0","Adition Technologies","DE","Adition Technologies ","1189"
"0.0","OpenX","US","OpenX ","969"
"0.0","Beeswax","US","Beeswax ","818"
"0.0","Quantcast","US","Quantcast ","440"
"0.0","GTCR","US","GTCR ","409"
"0.0","simpli.fi","US","simpli.fi > GTCR ","409"
"0.0","Blinkx","US","Blinkx > RhythmOne ","350"
"0.0","RhythmOne","US","RhythmOne ","350"
"0.0","Conversant Media","US","Conversant Media ","207"
"0.0","Dotomi","US","Dotomi > Conversant Media ","207"
"0.0","Lotame","US","Lotame ","112"
"0.0","Eyeview","US","Eyeview ","0"
