"N Pages Loaded","50"
"% of all Pages","100.0"
"% Pages SSL","80.0"
"N Elements Received","5436"
"% Elements Received SSL","92.68"
"N 1P Elements Received","1508"
"% 1P Elements Received SSL","90.32"
"N 3P Elements Received","3928"
"% 3P Elements Received SSL","93.58"
"Average Page Load Time (ms)","19152.64"
"% w/3p Element","88.0"
"% w/3p Cookie","70.0"
"% w/3p Javascript","78.0"
"Mean 3p Domains","11.4"
"Median 3p Domains","6.5"
"Mode 3p Domains","0"
"Mean 3p Cookies","15.46"
"Median 3p Cookies","2.5"
"Mode 3p Cookies","0"
